Country,Year,Expenditure
Euro area – 20 countries (from 2023),2001,47.3
Euro area – 20 countries (from 2023),2002,47.6
Euro area – 20 countries (from 2023),2003,47.9
Euro area – 20 countries (from 2023),2004,47.4
Euro area – 20 countries (from 2023),2005,47.2
Euro area – 20 countries (from 2023),2006,46.6
Euro area – 20 countries (from 2023),2007,45.9
Euro area – 20 countries (from 2023),2008,47.1
Euro area – 20 countries (from 2023),2009,51.1
Euro area – 20 countries (from 2023),2010,51.0
Euro area – 20 countries (from 2023),2011,49.6
Euro area – 20 countries (from 2023),2012,50.3
Euro area – 20 countries (from 2023),2013,50.3
Euro area – 20 countries (from 2023),2014,49.6
Euro area – 20 countries (from 2023),2015,48.6
Euro area – 20 countries (from 2023),2016,47.9
Euro area – 20 countries (from 2023),2017,47.4
Euro area – 20 countries (from 2023),2018,47.0
Euro area – 20 countries (from 2023),2019,47.0
Euro area – 20 countries (from 2023),2020,53.6
Euro area – 20 countries (from 2023),2021,52.0
Euro area – 20 countries (from 2023),2022,50.0
Euro area – 20 countries (from 2023),2023,49.5
European Union - 27 countries (from 2020),1975,:
European Union - 27 countries (from 2020),1976,:
European Union - 27 countries (from 2020),1977,:
European Union - 27 countries (from 2020),1978,:
European Union - 27 countries (from 2020),1979,:
European Union - 27 countries (from 2020),1980,:
European Union - 27 countries (from 2020),1981,:
European Union - 27 countries (from 2020),1982,:
European Union - 27 countries (from 2020),1983,:
European Union - 27 countries (from 2020),1984,:
European Union - 27 countries (from 2020),1985,:
European Union - 27 countries (from 2020),1986,:
European Union - 27 countries (from 2020),1987,:
European Union - 27 countries (from 2020),1988,:
European Union - 27 countries (from 2020),1989,:
European Union - 27 countries (from 2020),1990,:
European Union - 27 countries (from 2020),1991,:
European Union - 27 countries (from 2020),1992,:
European Union - 27 countries (from 2020),1993,:
European Union - 27 countries (from 2020),1994,:
European Union - 27 countries (from 2020),1995,53.5
European Union - 27 countries (from 2020),1996,51.1
European Union - 27 countries (from 2020),1997,49.7
European Union - 27 countries (from 2020),1998,48.8
European Union - 27 countries (from 2020),1999,48.4
European Union - 27 countries (from 2020),2000,47.4
European Union - 27 countries (from 2020),2001,47.4
European Union - 27 countries (from 2020),2002,47.8
European Union - 27 countries (from 2020),2003,48.1
European Union - 27 countries (from 2020),2004,47.4
European Union - 27 countries (from 2020),2005,47.2
European Union - 27 countries (from 2020),2006,46.6
European Union - 27 countries (from 2020),2007,45.8
European Union - 27 countries (from 2020),2008,47.0
European Union - 27 countries (from 2020),2009,50.8
European Union - 27 countries (from 2020),2010,50.7
European Union - 27 countries (from 2020),2011,49.3
European Union - 27 countries (from 2020),2012,50.0
European Union - 27 countries (from 2020),2013,50.0
European Union - 27 countries (from 2020),2014,49.2
European Union - 27 countries (from 2020),2015,48.3
European Union - 27 countries (from 2020),2016,47.5
European Union - 27 countries (from 2020),2017,47.0
European Union - 27 countries (from 2020),2018,46.7
European Union - 27 countries (from 2020),2019,46.6
European Union - 27 countries (from 2020),2020,52.9
European Union - 27 countries (from 2020),2021,51.1
European Union - 27 countries (from 2020),2022,49.2
European Union - 27 countries (from 2020),2023,49.0
Finland,1975,:
Finland,1976,:
Finland,1977,:
Finland,1978,:
Finland,1979,:
Finland,1980,40.1
Finland,1981,41
Finland,1982,42.7
Finland,1983,44.4
Finland,1984,44.4
Finland,1985,46.3
Finland,1986,46.9
Finland,1987,47.7
Finland,1988,46.4
Finland,1989,44.4
Finland,1990,47.9
Finland,1991,56.7
Finland,1992,61.8
Finland,1993,64.1
Finland,1994,62.5
Finland,1995,61
Finland,1996,59.5
Finland,1997,56.1
Finland,1998,52.3
Finland,1999,51.0
Finland,2000,47.9
Finland,2001,47.3
Finland,2002,48.5
Finland,2003,49.3
Finland,2004,49.1
Finland,2005,49.0
Finland,2006,48.1
Finland,2007,46.6
Finland,2008,47.9
Finland,2009,54.1
Finland,2010,54.0
Finland,2011,53.8
Finland,2012,55.7
Finland,2013,57.1
Finland,2014,57.6
Finland,2015,55.7
Finland,2016,55.1
Finland,2017,52.8
Finland,2018,52.7
Finland,2019,52.6
Finland,2020,56.5
Finland,2021,55.1
Finland,2022,52.6
Finland,2023,55.8
France,1975,:
France,1976,:
France,1977,:
France,1978,:
France,1979,:
France,1980,:
France,1981,:
France,1982,:
France,1983,:
France,1984,:
France,1985,:
France,1986,:
France,1987,:
France,1988,:
France,1989,:
France,1990,:
France,1991,:
France,1992,:
France,1993,:
France,1994,:
France,1995,56.1
France,1996,56
France,1997,55.6
France,1998,54.0
France,1999,53.7
France,2000,52.6
France,2001,52.8
France,2002,53.9
France,2003,54.4
France,2004,54.0
France,2005,54.3
France,2006,53.8
France,2007,53.6
France,2008,54.3
France,2009,58.0
France,2010,57.7
France,2011,57.0
France,2012,57.9
France,2013,58.6
France,2014,58.4
France,2015,57.6
France,2016,57.4
France,2017,57.7
France,2018,56.4
France,2019,55.3
France,2020,61.7
France,2021,59.5
France,2022,58.4
France,2023,57.0
Germany,1975,:
Germany,1976,:
Germany,1977,:
Germany,1978,:
Germany,1979,:
Germany,1980,:
Germany,1981,:
Germany,1982,:
Germany,1983,:
Germany,1984,:
Germany,1985,:
Germany,1986,:
Germany,1987,:
Germany,1988,:
Germany,1989,:
Germany,1990,:
Germany,1991,:
Germany,1992,:
Germany,1993,:
Germany,1994,:
Germany,1995,55.2
Germany,1996,49.6
Germany,1997,48.8
Germany,1998,48.3
Germany,1999,48.5
Germany,2000,48.1
Germany,2001,47.7
Germany,2002,48.2
Germany,2003,48.5
Germany,2004,47.0
Germany,2005,46.9
Germany,2006,45.3
Germany,2007,43.5
Germany,2008,44.4
Germany,2009,48.3
Germany,2010,48.1
Germany,2011,45.3
Germany,2012,45.1
Germany,2013,45.2
Germany,2014,44.5
Germany,2015,44.5
Germany,2016,44.7
Germany,2017,44.6
Germany,2018,44.7
Germany,2019,45.6
Germany,2020,51.1
Germany,2021,50.7
Germany,2022,49.0
Germany,2023,48.4
Greece,1975,:
Greece,1976,:
Greece,1977,:
Greece,1978,:
Greece,1979,:
Greece,1980,:
Greece,1981,:
Greece,1982,:
Greece,1983,:
Greece,1984,:
Greece,1985,:
Greece,1986,:
Greece,1987,:
Greece,1988,:
Greece,1989,:
Greece,1990,:
Greece,1991,:
