Country,Year,Tax
Switzerland,2009,26.3
Switzerland,2010,25.9
Switzerland,2011,26.2
Switzerland,2012,26.2
Switzerland,2013,26.3
Switzerland,2014,26.2
Switzerland,2015,27.0
Switzerland,2016,27.0
Switzerland,2017,27.8
Switzerland,2018,27.2
Switzerland,2019,27.7
Switzerland,2020,28.0
Switzerland,2021,28.0
Switzerland,2022,26.7
Switzerland,2023,26.9
