Country Code,Year,Import
ARB,2000,
ARB,2001,
ARB,2002,
ARB,2003,
ARB,2004,
ARB,2005,
ARB,2006,
ARB,2007,
ARB,2008,
ARB,2009,
ARB,2010,
ARB,2011,
ARB,2012,
ARB,2013,
ARB,2014,
ARB,2015,
ARB,2016,
ARB,2017,
ARB,2018,
ARB,2019,
ARB,2020,
ARB,2021,
ARB,2022,
ARB,2023,
ARE,1960,
ARE,1961,
ARE,1962,
ARE,1963,
ARE,1964,
ARE,1965,
ARE,1966,
ARE,1967,
ARE,1968,
ARE,1969,
ARE,1970,
ARE,1971,
ARE,1972,
ARE,1973,
ARE,1974,
ARE,1975,
ARE,1976,
ARE,1977,
ARE,1978,
ARE,1979,
ARE,1980,3.2765362508
ARE,1981,3.7229742798
ARE,1982,3.3262670172
ARE,1983,2.9773924015
ARE,1984,2.4945104507
ARE,1985,2.4816032293
ARE,1986,2.5837221313
ARE,1987,2.6877391553
ARE,1988,3.2351572159
ARE,1989,3.8000379865
ARE,1990,4.2514111313
ARE,1991,5.2183139035
ARE,1992,6.6092568787
ARE,1993,7.4102638866
ARE,1994,7.9812186462
ARE,1995,9.0266348642
ARE,1996,11.602526895
ARE,1997,12.9477700233
ARE,1998,12.3714080857
ARE,1999,12.042071694
ARE,2000,13.2902627266
ARE,2001,14.1575357127
ARE,2002,16.1919579767
ARE,2003,19.7685550026
ARE,2004,27.3641869909
ARE,2005,32.1368425666
ARE,2006,37.9842187861
ARE,2007,50.3004186474
ARE,2008,76.039047954
ARE,2009,56.9438701613
ARE,2010,62.6382571827
ARE,2011,87.2881196991
ARE,2012,97.3846475006
ARE,2013,102.7187696289
ARE,2014,104.78621175
ARE,2015,100.0
ARE,2016,101.1990903377
ARE,2017,97.8421952961
ARE,2018,92.8897079395
ARE,2019,109.5018091843
ARE,2020,93.7527944131
ARE,2021,131.9310080544
ARE,2022,
ARE,2023,
ARG,1960,
ARG,1961,
ARG,1962,
ARG,1963,
ARG,1964,
ARG,1965,
ARG,1966,
ARG,1967,
ARG,1968,
ARG,1969,
ARG,1970,
ARG,1971,
ARG,1972,
ARG,1973,
ARG,1974,
ARG,1975,
ARG,1976,
ARG,1977,
ARG,1978,
ARG,1979,
ARG,1980,17.4282432285
ARG,1981,15.5864890743
ARG,1982,8.8248516301
ARG,1983,7.4440318183
ARG,1984,7.5772383736
