Country Code,Year,GDP
EAS,2003,8703213788319.021
EAS,2004,9759733268577.709
EAS,2005,10413111385433.955
EAS,2006,11037062473786.596
EAS,2007,12333826277301.879
EAS,2008,14223506974109.088
EAS,2009,14633924802510.066
EAS,2010,17080574558951.883
EAS,2011,19800048149685.312
EAS,2012,21177835969896.832
EAS,2013,21415690682394.04
EAS,2014,22094710753929.875
EAS,2015,22000917165875.94
EAS,2016,22781793863032.004
EAS,2017,24334957894980.195
EAS,2018,26494505143186.832
EAS,2019,27040135154758.547
EAS,2020,27163485040463.81
EAS,2021,31155716955057.277
EAS,2022,30673443320595.906
EAS,2023,30780176881541.312
ECA,1960,
ECA,1961,
ECA,1962,
ECA,1963,
ECA,1964,
ECA,1965,
ECA,1966,
ECA,1967,
ECA,1968,
ECA,1969,
ECA,1970,
ECA,1971,
ECA,1972,
ECA,1973,
ECA,1974,
ECA,1975,
ECA,1976,
ECA,1977,
ECA,1978,
ECA,1979,
ECA,1980,
ECA,1981,
ECA,1982,
ECA,1983,
ECA,1984,
ECA,1985,
ECA,1986,
ECA,1987,237833395990.42145
ECA,1988,263708576305.4148
ECA,1989,299411755950.9507
ECA,1990,358223680903.3134
ECA,1991,345019442258.6673
ECA,1992,332222890899.6384
ECA,1993,343131477568.8414
ECA,1994,268768053602.0373
ECA,1995,307712493377.11237
ECA,1996,326484068631.1037
ECA,1997,346373039221.733
ECA,1998,421243450519.9763
ECA,1999,384142293366.91125
ECA,2000,390704738797.4388
ECA,2001,335072894898.88
ECA,2002,389839137391.69885
ECA,2003,497108250027.86365
ECA,2004,639831518379.5006
ECA,2005,796696338766.086
ECA,2006,926798024731.6757
ECA,2007,1167198478790.7537
ECA,2008,1397090597744.855
ECA,2009,1164934295264.8804
ECA,2010,1379346554033.5833
ECA,2011,1568792048512.5244
ECA,2012,1654300745953.3706
ECA,2013,1804347189304.8938
ECA,2014,1731766323586.5146
ECA,2015,1509288407449.505
ECA,2016,1448928141199.8071
ECA,2017,1494523919239.5667
ECA,2018,1468176944855.7861
ECA,2019,1498314054530.3706
ECA,2020,1437142037120.7397
ECA,2021,1670340541088.5955
ECA,2022,1817978495944.8586
ECA,2023,2129704371516.139
ECS,1960,426424801995.0598
ECS,1961,469110075856.1529
ECS,1962,513039887672.594
ECS,1963,561049368761.0406
ECS,1964,620035842389.6338
ECS,1965,676117339709.5049
ECS,1966,731240203642.5297
ECS,1967,776910516817.8734
ECS,1968,818392692177.8635
ECS,1969,907615339286.6332
ECS,1970,1020352535511.0916
ECS,1971,1151506884356.911
ECS,1972,1381156796872.9668
ECS,1973,1757544418877.7446
ECS,1974,1986167093576.9521
ECS,1975,2318870760466.377
ECS,1976,2411462167204.3535
ECS,1977,2728317589126.344
