Country,Year,ED,Expenditure,Irate,Population,Tax,Trade,First_sector_GDP,First_sector_Inv
Finland,1997,-7964.83600000001,-3.3999999999999986,-0.6875,-2578.0,-0.7999999999999972,1012.5,708.6999999999989,322.9000000000001
Finland,1998,-13467.635000000126,-3.8000000000000043,-0.5133999999999999,-465.0,-0.29999999999999716,1255.5,-1463.8999999999987,182.5999999999999
Finland,1999,-49707.007999999914,-1.2999999999999972,-0.7225000000000001,-2732.0,-0.6000000000000014,1911.6000000000004,1575.499999999999,152.4000000000001
Finland,2000,-20583.189999999944,-3.1000000000000014,1.6056999999999997,-641.0,1.3999999999999986,1125.0,-615.8999999999987,-47.80000000000018
Finland,2001,30191.731999999844,-0.6000000000000014,-0.7027999999999999,-1843.0,-2.700000000000003,872.0,-266.300000000002,110.30000000000018
Finland,2002,65413.98900000006,1.2000000000000028,-0.5935999999999999,3973.0,0.10000000000000142,-60.0,258.300000000002,38.19999999999982
Finland,2003,-42760.507999999914,0.7999999999999972,-1.1587,-2392.0,-0.8999999999999986,-3326.0,-180.20000000000073,25.09999999999991
Finland,2004,10548.918000000063,-0.19999999999999574,-0.05929999999999991,2043.0,-0.6000000000000014,-39.0,170.1999999999989,-179.5
Finland,2005,-77103.55100000021,-0.10000000000000142,0.05820000000000025,3442.0,0.30000000000000426,-3421.0,129.20000000000073,87.60000000000036
Finland,2006,94960.49699999997,-0.8999999999999986,1.1031999999999997,2090.0,0.0,667.0,-149.39999999999964,35.5
Finland,2007,-50275.60999999987,-1.5,1.0140000000000002,2406.0,-0.7000000000000028,1768.0,170.60000000000036,437.0999999999999
Finland,2008,-25265.899999999907,1.2999999999999972,0.37599999999999945,2154.0,-0.29999999999999716,-1945.0,-400.60000000000036,298.2999999999997
Finland,2009,-44912.656000000075,6.200000000000003,-3.2156999999999996,2301.0,-0.30000000000000426,-3319.0,443.60000000000036,-503.2999999999997
Finland,2010,168225.08299999987,-0.10000000000000142,-0.2570000000000001,-717.0,-0.19999999999999574,-1137.0,-553.7000000000025,-159.80000000000018
Finland,2011,-131308.3579999999,-0.20000000000000284,0.6545000000000001,-1264.0,1.2999999999999972,-4112.0,210.00000000000364,249.0999999999999
Finland,2012,21792.55200000014,1.9000000000000057,-0.8936,2142.0,0.7000000000000028,-1583.0,22.399999999997817,137.0
Finland,2013,-30629.25400000019,1.3999999999999986,-0.5782,-584.0,1.0,1123.0,92.10000000000036,45.70000000000027
Finland,2014,88619.55899999989,0.5,-0.06090000000000001,-811.0,0.19999999999999574,-87.0,265.40000000000055,-299.4000000000001
Finland,2015,-91167.23099999968,-1.8999999999999986,-0.3074,-4113.0,0.0,1253.0,-69.60000000000036,-440.9000000000001
Finland,2016,91893.79499999969,-0.6000000000000014,-0.2026,-4928.0,0.30000000000000426,-1439.0,-370.40000000000055,10.900000000000091
Finland,2017,-10933.274999999674,-2.3000000000000043,-0.1103,434.0,-0.9000000000000057,3162.0,375.40000000000055,177.5999999999999
Finland,2018,-18037.54500000039,-0.09999999999999432,-0.02779999999999999,-6156.0,-0.5,-2845.0,-575.0999999999985,-63.19999999999982
Finland,2019,-43291.61199999973,-0.10000000000000142,-0.044300000000000006,-5044.0,-0.19999999999999574,3564.0,711.5999999999967,-38.600000000000136
Finland,2020,-15514.38500000001,3.8999999999999986,-0.08840000000000003,2584.0,-0.3999999999999986,-1027.0,-693.7999999999975,111.70000000000005
Finland,2021,84081.43799999985,-1.3999999999999986,-0.18489999999999995,1128.0,1.3999999999999986,-442.0,346.39999999999964,-80.59999999999991
Finland,2022,-100976.86499999987,-2.5,1.5902999999999998,5947.0,-0.10000000000000142,-5439.0,86.49999999999909,-507.0999999999999
Finland,2023,52146.85699999996,3.1999999999999957,2.765,1281.0,-0.7999999999999972,6116.0,-601.1999999999998,-54.600000000000364
France,1994,,,,,44.47945922771651,,33157.0,12753.9
France,1995,200907.34200000018,0.571501767837475,0.29000000000000004,,44.1,3314.399999999998,34201.3,13741.1
France,1996,399656.5649999995,-0.10000000000000142,-2.0,-3661.0,45.3,3111.7000000000007,36153.8,14284.2
France,1997,-250936.77699999977,-0.3999999999999986,-0.6875,-3069.0,45.4,17351.500000000004,36282.0,14377.2
France,1998,224133.34100000001,-1.6000000000000014,-0.5133999999999999,4409.0,45.4,-2970.2000000000044,36939.8,15152.9
France,1999,-19550.387000000104,-0.29999999999999716,-0.7225000000000001,15151.0,46.1,-2985.5999999999985,38563.600000000006,15836.6
France,2000,-1.1509999996051192,-1.1000000000000014,1.6056999999999997,162840.0,45.2,-12780.400000000001,37664.5,15250.1
France,2001,410905.4399999995,0.19999999999999574,-0.7027999999999999,47804.0,45.1,4618.800000000003,36337.2,14837.7
France,2002,-116714.1099999994,1.1000000000000014,-0.5935999999999999,10428.0,44.4,6646.0,37914.9,13930.1
France,2003,97583.76999999955,0.5,-1.1587,-4669.0,44.3,-9582.800000000003,32284.4,13314.7
France,2004,104658.84499999974,-0.3999999999999986,-0.05929999999999991,-11899.0,44.4,-4676.699999999997,38319.7,13325.0
